index/_index,index/_id,id,collection_id,recommendation_id,title,handle,category,body,image_url,min_price,max_price,option1_name,option1_values,option1_values ,option1_values ,option1_values,option1_values,option2_name,option2_values,option2_values ,option2_values ,option2_values,option2_values,option3_name,option3_values,option3_values ,option3_values ,option3_values,option3_values,option4_name,option4_values,option4_values,option5_name,option5_values,option5_values,option6_name,option6_values,colors ,colors,colors,colors ,colors ,tags
test-products-schema,tt928608946202,id928608946202,collect801544455200,rec170131393407,Ocean Blue Shirt,ocean-blue-shirt,Clothing,Ocean blue cotton shirt with a narrow collar and buttons down the front and long sleeves. Comfortable fit and tiled kalidoscope patterns. ,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,10000,50000,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt637677793753,id637677793753,collect143347644886,rec993150987507,Classic Varsity Top,classic-varsity-top,Clothing,"Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter. ",https://burst.shopifycdn.com/photos/casual-fashion-woman_925x.jpg,10025,50025,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt464557517532,id464557517532,collect885119919055,rec182409636450,Classic Varsity Top,classic-varsity-top,Clothing,"Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter. ",https://burst.shopifycdn.com/photos/casual-fashion-woman_925x.jpg,10050,50050,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt273836862473,id273836862473,collect622804702959,rec434769505541,Classic Varsity Top,classic-varsity-top,Clothing,"Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter. ",https://burst.shopifycdn.com/photos/casual-fashion-woman_925x.jpg,10075,50075,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt544494603976,id544494603976,collect637699472614,rec870951745459,Yellow Wool Jumper,yellow-wool-jumper,Clothing,Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall. ,https://burst.shopifycdn.com/photos/autumn-photographer-taking-picture_925x.jpg,10100,50100,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt827559723718,id827559723718,collect918828328166,rec791240537889,Floral White Top,floral-white-top,Clothing,Stylish sleeveless white top with a floral pattern. ,https://burst.shopifycdn.com/photos/city-woman-fashion_925x@2x.jpg,10125,50125,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt665857655640,id665857655640,collect410198304874,rec292131184821,Striped Silk Blouse,striped-silk-blouse,Clothing,Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants. ,https://burst.shopifycdn.com/photos/striped-blouse-fashion_925x.jpg,10150,50150,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt370460460917,id370460460917,collect610643150838,rec961345872529,Classic Leather Jacket,classic-leather-jacket,Clothing,"Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket. ",https://burst.shopifycdn.com/photos/leather-jacket-and-tea_925x.jpg,10175,50175,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt970753632502,id970753632502,collect560038519933,rec991305766100,Dark Denim Top,dark-denim-top,Clothing,"Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.",https://burst.shopifycdn.com/photos/young-female-models-denim_925x.jpg,10200,50200,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
test-products-schema,tt866348391775,id866348391775,collect603884146130,rec573451958015,Navy Sports Jacket,navy-sport-jacket,Clothing,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",https://burst.shopifycdn.com/photos/mens-fall-fashion-jacket_925x.jpg,10225,50225,set-type,ゾーンコイルのセット,ボンネットコイルのセット,ポケットコイルのセット,プレミアムボンネルのセット,プレミアムポケットのセット,size,シングル,セミダブル,ダブル,クイーン,キング,flame-color,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,mattress-color,ホワイト系,ブラック系,installation,なし,あり,null,null,ライトグレー,ウォルナットブラウン,シナモングレージュ,ノルディックオーク,ダークグレー,"収納付き,⻑さが短い"
